param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,E,major_donor,41,5,46,89.1
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,C,major_donor,35,7,42,83.3
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,B,major_donor,34,7,41,82.9
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,E,minor_donor,30,7,37,81.1
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,D,minor_donor,28,7,35,80.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,B,minor_donor,29,5,34,85.3
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,G,minor_donor,29,2,31,93.5
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,H,minor_donor,29,2,31,93.5
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,C,minor_donor,24,5,29,82.8
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,B,hybrid_taxon,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,F,minor_donor,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,C,hybrid_taxon,26,0,26,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,H,major_donor,16,10,26,61.5
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,F,hybrid_taxon,10,12,22,45.5
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,G,major_donor,11,10,21,52.4
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,E,hybrid_taxon,20,0,20,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,D,hybrid_taxon,20,0,20,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,G,hybrid_taxon,18,0,18,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,F,major_donor,15,0,15,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,H,hybrid_taxon,13,0,13,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000-summary,A,hybrid_taxon,3,0,3,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,E,major_donor,38,10,48,79.2
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,G,minor_donor,38,8,46,82.6
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,H,minor_donor,38,8,46,82.6
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,B,major_donor,34,10,44,77.3
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,D,major_donor,33,10,43,76.7
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,C,major_donor,31,10,41,75.6
